,Title,Reviews_x,Most_Common_Gender_Cast,Most_Common_Gender_Directors
10,Breaking Bad,"""A mondo-bizarro, dark-as-midnight, bitterly bleak tragicomedy (...) 'Breaking Bad' may give you an oddly gratifying case of the creeps"" , ""Breaking Bad mixes desperation and deviousness to yield a volatile, valuable product"" , ""It’s the pacing that makes 'Breaking Bad' more of a hard slog than a cautionary joy ride. It has good acting"" , ""Series creator Vince Gilligan brings a quirky sensibility to the pilot, and the show grows increasingly rich and absorbing in the second and third hours"" , 
                    ""It's an uneven Coen Brothers--like mix of dark comedy and darker moral drama, but Cranston is amazing as a desperate, conflicted gangsta-nerd""                , ""[A pilot] that is suspenseful and surprising. Cranston is always fun to watch, and 'Bad' is no exception."" , ""Walt is the perfect anti-hero. Thanks in no small part to Cranston’s diamond-edged charm (...) It is fascinating, really (…) Rating: ★★★★★ (out of 5)"" , ""[It] is very well done, but it has a bleakness that seems to be manufactured for no good reason"" , ""Its achievement rarely matches its ambitions, but the effect is still pretty dope."" , ""It's rough, it's ugly, and it's sometimes nauseating. I can't wait to see more."" ",Men,Men
11,White Lines,"""A proper mystery, party island excess, and a stellar creative pedigree all combine to make 'White Lines' (Netflix) your binge of the weekend (…) Rating: ★★★½ (out of 5)"" , ""The drama has everything to keep viewers invested, turned on, and watching, potentially even in one sitting. It’s a fun, steamy escape"" , ""A genre-bending, raucous and downright bananas ride, and one that you won't want to get off in a hurry. (...) Don't try to take it too seriously."" , ""There are moments of brilliance that are utterly thrilling, but they always seem to dissipate prematurely, leaving something that never quite hits the mark.(...) Rating: ★★★ (out of 5)"" , ""[An] irreverent, brash, kinetic new 10-part crime drama-cum-caper (...) I’d be surprised if this lurid, swirling, fantastically confident creation didn’t hit the spot (...) Rating: ★★★★ (out of 5)"" , ""A worthwhile trip if you ignore its flaws (...) It might not be the best drama series you'll ever see, but if you tuned into 'The Stranger' on Netflix recently, this will probably be your next big binge"" , ""It’s bad TV, but nails the glorious nonsense of Ibiza. (...) The dance scenes can be excruciating (lots of waving arms) and the dialogue frequently woeful."" , ""Fancy a 10-hour break in Ibiza full of sex, drugs, raves and murder? (...) is a glamorous, violent, sexy, and colourful thriller with a great lead turn (...) Rating: ★★★★ (out of 5)"" ",Men,Men
12,Narcos,"""[3rd Season Review]: Pascal lends the series the continuity it needs, both in tone and context (...) The elements that made 'Narcos' so compelling in its first two seasons are all here (…) Rating: ★★★ (out of 4)"" , ""[3rd Season Review]: The drug war might be lost, but the best version of this show is found (...) Season 3 continues that journey with an investment in human storytelling."" , ""[3rd Season Review]: After watching six of the new season's 10 episodes, I was reasonably hooked and eager to see the rest of them (...) Stick with the show through the place-setting opening and know that it finds its footing."" , ""[3rd Season Review]: The array of characters is particularly strong (...) 'Narcos' remains tense -- almost unbearably so at times -- bleak and disturbing (...) [It delivers] the same high."" , ""[3rd Season Review]: Salcedo becomes the show’s stealth star and the main reason you stay on the couch watching every time the next episode automatically spins up."" , ""[3rd Season Review]: 'Narcos' uses the downfall of the Cali syndicate in the late 1990s to rectify some of the first and second season's more significant flaws (...) It’s still signature 'Narcos'."" , ""[2nd Season Review]: The second season of Netflix's gripping true-life crime thriller 'Narcos' proves once again that real life is more bizarre than fiction."" , ""[2nd Season Review]: Allow yourself to be mesmerized and appalled at one of the most outrageous true crime dramas ever filmed. (...) Rating: ★★★ (out of four)"" , ""[2nd Season Review]: 'Narcos' provokes us to question media representations of villainy, fictional and otherwise, and challenges us to wrestle with Escobar's humanity and evil."" , ""[2nd Season Review]: Season 2 requires more attentive viewing than Season 1 did — there are more players, alliances and animosities to track — but it also gives the writers characters other than Escobar to develop."" , ""Functioning as a history lesson as well as a compelling drama, “Narcos” has a “Goodfellas” vibe,  inasmuch as it offers a heavily narrated, first-person account of the rise of a drug kingpin (...) a taut, gripping narrative (....) Unlike most series, “Narcos” isn’t about the players, but the game."" , ""Not since Walter White and Jesse Pinkman's last batch of blue crystal meth has Netflix offered up a crime and drugs drama quite this addictive."" , ""The world doesn’t seem to lack for Pablo Escobar biopics (...) Narcos separates itself from the pack with an impressive breadth and depth. (...) Narcos smartly concerns itself with telling the story from a number of perspectives, but with an overriding care to never depict Americans as the heroes"" , ""Get hooked on Netflix’s compelling drug war saga (...) Moura is especially compelling as he manipulates the seeming incongruities of Escobar’s character to heighten his aura of unpredictable menace"" , ""Electrifying (...) Escobar remains inscrutable (...) But “Narcos” is nevertheless addictive, compelling, shocking, and even educational."" , ""An irresistible drama (...) A prize-worthy performance by the Brazilian actor Wagner Moura"" , ""Realistic look at 1990s drug lord Pablo Escobar and his pursuer on Netflix (...) One of the strengths of Narcos is its refusal to paint anyone as purely good or bad. (...) Rating: ★★★ (out of five) ",Men,Men
13,Toy Boy,"""Stream it, if you’re in the mood for some Spanish camp and soapy striptease action, but do not feel any shame about fast-forwarding."" ",Men,Men
14,Arrow,"""Granted, it's all standard superhero stuff. But the action scenes are well-handled, the emotions and the characters mostly ring true, and the plot offers enough twists to keep you intrigued (...) Rating: ★★½ (out of 4)"" , ""'Arrow' certainly looks polished, but there's only so much action an hourlong drama can afford, and the characters necessary to sustain the series are, initially, strictly two-dimensional"" , ""Your interest in 'Arrow' depends on how much you miss the troubled-in-love, conflicted-by-family heroics of 'Smallville'--it mirrors that series' setup"" ",Men,Men
15,Ozark,"""[3rd Season Review]: [It] raises the stakes like never before, with characters transforming to new heights and a time bomb lurking from underneath (…) Rating: ★★★★½ (out of 5)"" , ""[3rd Season Review]: [It] manages to maintain the level of tension this show is known for while adding a layer of emotional stakes in the form of Marty and Wendy’s fractured relationship (…) Rating: ★★★ (out of 5)"" , ""[3rd Season Review]: A much better organized and, thankfully, more streamlined new season (...) There’s still plenty of bloat to go around, though thankfully nowhere near as much as in season 2 (…) Rating: ★★★★ (out of 5)"" , ""[3rd Season Review]: [It's] a marked improvement over Season 2, dialing up the pressure and tossing in just enough surprises to keep the audience on their toes."" , ""[3rd Season Review]: It’s still a gripping show, it just does a dumb thing (...) A frustrating new character causes trouble, but Laura Linney saves the day."" , ""[3rd Season Review]: It's still by far the most stressful and emotionally ravaging stretch of the show (…) Rating: ★★★ (out of 5)"" , ""[3rd Season Review]: A gripping season (...) 'Ozark' demonstrates a welcome willingness to mess with its own status quo"" , ""[3rd Season Review]: Linney shines in a much-improved third season."" , ""[3rd Season Review]: [It] mostly feels like more of the same, but a couple of characters create fresh tension (…) Rating: ★★★ (out of 5)"" , ""[2nd Season Review]: 'Ozark' hums on, riding that wave of pure competence (...) [Marty and Wendy] have nowhere to go as characters (...) Characters who feel unrewardingly flat"" , ""[2nd Season Review]: A darker, stronger second season (...) [It] tells a completely captivating story from start to finish"" , ""[2nd Season Review]: A sturdy but bland follow-up (...) [It] can't keep the momentum that made Season 1 so thrilling."" , ""[2nd Season Review]: Gloomy, monotonous and poorly focused (...) 10 dreary, bloated episodes."" , ""[2nd Season Review]: The show’s second season not only settles into its own unique groove, it digs deeper into what makes a 'bad person' through exceptional character work (…) Rating: ★★★ (out of 5)"" , ""[2nd Season Review]: On the whole, this is a very enjoyable season of television. A definite page-turner (...) and one that goes to some incredibly dark places"" , ""The series regularly finds a way to highlight the humanity in a story of inhuman acts, and knows when to turn away from an act too vile to witness."" , ""Ozark is smart, well-crafted, and says something."" , ""Enough is happening in 'Ozark' that it's never boring, which sets it apart from Netflix's recent misguided stab at prestige programming, 'Gypsy'. Instead of being predictable, though, 'Ozark' becomes monotonous."" , ""In 'Ozark', a lot happens, but not much is going on (...) Your comfort level will be enhanced by the arty, muted cinematography."" , ""Jason Bateman shines (...) [It] starts with a familiar premise (...) but becomes increasingly engrossing"" , ""A masterstroke for Jason Bateman (...) Bateman’s commanding performance powers a gripping, twisty, sometimes spotty yarn that plays like 'Breaking Bad' in reverse"" , ""'Ozark' repeatedly overturns dramatic cliches (...) but it’s always convincing. Linney is, as ever, magnificent. And the Lake of the Ozarks, where the deep water is never far from shore, is a gift."" , ""Clichés aside, this is a deeply gripping drama (...) The saving grace is the tightly sprung plot (…) Rating: ★★★★ (out of 5)"" ",Men,Men
16,How to Get Away With Murder,"""It’s straining to be TV’s new obsession, instead of a riveting drama."" , ""[A] Rhimes-style melodrama and pace (...) might be stretching things too far, but even a schlock skeptic has to admire the ease with which 'Murder' intuits its audience’s need for speed and surprises."" , ""While it’s so fast paced, you barely realize that it isn’t always credible, you do get that it’s always fun."" , ""The show would benefit from easing up on the frenetic pace, taking a breath every now and then, and making its younger cast members seem like they’re actually in law school, not an Abercrombie & Fitch catalog. (...) Rating: ★★½ (out of four)"" , ""A few minutes in, and you can sense a promise of sex, surprises, and a healthy dose of fun. And so far, the show delivers. (...) Rating: ★★★ (out of four)"" ",Men,Men
17,Sons of Anarchy,"""'Sons' has plenty of guns and violence, but it prefers to find its drama in the dialogue, in the internal struggles of the characters (...) Few series have exploded onto the scene with such a rich array of potential stories"" , ""A ""Sopranos"" for the new century (...) Every character is unique (...) Rating: ★★★½"" , ""'Sons of Anarchy' may be wild fantasy and melodrama, but it is tempered by a feeling of verity."" , ""Certainly, the show is still exciting and thoughtful in the way that it disassembles many pat notions we may have of tribe loyalty, family bonds, and the treachery of the business world."" , ""The series remains an immersive experience, and the cast has been gradually upgraded."" ",Men,Men
18,The Sinner,"""A fantastic summer mystery series (...) The set-up is wonderfully simple in mystery terms (...) There’s so much to like here that any missteps are quickly forgotten."" , ""Given this, Biel’s committed, evocative turn, and the sure-handed direction of Antonio Campos ('Christine'), our interest is piqued enough to dig deeper."" , ""[It] tries for something unique, a whydunit instead of a whodunit that deconstructs ideas about good, evil, and identity (...) But it’s as fun as a trip to a confessional booth and doesn’t achieve the transcendence it covets."" , ""It is a pleasure to watch (...) It all adds up to a drama that's strikingly filmed, gratifyingly smarter than it needs to be and (...) snappily paced."" , ""'The Sinner' achieves its goal of piquing your curiosity (...) There’s something about the way the mystery unfolds on 'Sinner' that feels particularly seedy (…) Rating: ★★ (out of 4)"" , ""The first three episodes (...) are sufficiently intriguing and stylish to make the wait worthwhile, as long as you accept the possibility of disappointment when all the secrets are revealed."" , ""[Biel] gives a committed performance, measured even in its required extremes (...) 'The Sinner' does present a puzzle; it has a certain gravitational pull."" , ""The set-up for 'The Sinner' (...) is instantly gripping and provocative (...) Regardless of mini-howlers here and there, we’re as curious as Ambrose to know who Cora really is and what happened to her in the past"" ",Women,Men
19,Queen of the South,"""In short, a lot of stuff happens (...) too much to be believed, but the character of Teresa and Braga's performance are enough to pique our interest."" , ""The premiere is wild ride through a fun house of exposition, crazy escapes and scenario set-ups."" , ""[It] is far from the best modern TV has to offer. But for all its amped up aesthetics, I'm not sure it even wants to be part of the club"" , ""There's nothing that sets it apart from, well, most shows, and any attempt to break out of the typical drama structure comes off as forced and unnecessary."" ",Men,Men
20,Narcos: Mexico,"""[2nd Season Review]: As ever, it's exquisitely written, cast and shot, making great use of Mexico's stunning landscapes"" , ""[2nd Season Review]: 'Narcos' has always excelled at illustrating a cartel’s rocky relationship with its country's politics and labourers"" , ""[2nd Season Review]: Expertly written and directed (...) [It] has the same compelling patience of 2015’s 'Sicario' (…) Rating: ★★★★★ (out of 5)"" , ""[2nd Season Review]: It’s smart, dense, and has a flare for the dramatic that keeps each episode interesting"" , ""[2nd Season Review]: It never skimps on character development and never feels like it's spinning the wheels"" , ""Still addictive (...) A season that, through its first five episodes, makes enough of its fresh faces and characters to avoid boredom and yet is still resolutely and successfully 'Narcos' in its DNA."" , ""It’s pulled off with tremendous verve and sureness of touch (...) 'Narcos' is still television’s most irresistible guilty pleasure (…) Rating: ★★★★ (out of 5)"" , ""No one portrays the labyrinthine world of the modern drug cartel in all of insidious complexity as well as the Netflix 'Narcos' franchise (…) Rating: ★★★ (out of 4)"" , ""The first thing it gets right is that it’s funny (...) The old tale can bear another retelling, especially when it’s as rich, nuanced and shamelessly fun as this (…) Rating: ★★★★ (out of 5)"" , ""Historically we may know the outcome, but there is enough charm and uncertainty to the way 'Narcos: Mexico' crafts its story to keep things consistently interesting and compelling (…) Rating: ★★★★ (out of 4)"" , ""Two great performances anchor bleak, compelling season (...) It’s grim, but honest"" , ""The series remains as addictive as ever in chronicling the bleak history of the drug war, delivering a drama so crisp and smartly executed as to provide its own kind of high."" , ""[It] tells its story with as much flair as a GCSE history book (...) [It] lives in the shadow of its predecessors, attempting to emulate their success without any willingness to embrace originality (…) Rating: ★★ (out of 5)"" , ""[It] has successfully excavated the human drama from the [historical] record, and in doing so has constructed a narrative that’s as fascinating in its character beats as it is in how it delivers a chronicle of real-life events."" ",Men,Men
21,You,"""[2nd Season Review]: By the time this new season ends (...) viewers could be forgiven for feeling a bit tired of being addressed by an ever-less-charming killer, one who’s become tiresome company"" , ""[2nd Season Review]: Equal parts smart, silly and scary, 'You' remains an offbeat, uniquely contemporary pleasure on the whole"" , ""[2nd Season Review]: Badgley is still immensely watchable as Joe (...) Much of the new season is fun (...) But the ongoing narrative fake-outs are starting to feel tiresome"" , ""[2nd Season Review]: [It] builds on the entertaining guilty pleasures of the first season and also introduces a host of interesting new characters and game-changing twists and turns (…) Rating: ★★★★ (out of 5)"" , ""[2nd Season Review]: Where 'You' really falls is its handling of the topics explored (...) Where it does succeed (...) is that once you've started watching you feel compelled to keep going"" , ""[2nd Season Review]: Fans of the series' first foray (...) will easily slip into Joe Goldberg's new world (…) Rating: ★★★★ (out of 5)"" , ""[2nd Season Review]: The stakes have been raised (...) and you soon become as obsessed with this story as Joe is with love."" , ""A flawed but compelling new drama that brings to mind both the sparky sensation of 'Unreal' and the ways in which it was not built to last."" , ""[It] skillfully exploits rom-com clichés while simultaneously deflating them with a crisp slap of comic brutality"" , ""The breathless pacing of 'You' is what could well make it a juicy guilty pleasure for many viewers, but it falls short of the kind of thoughtfulness that could have made it special."" , ""'YOU' has an intriguing premise, though it will certainly not be everyone’s cup of tea. Through five episodes, though, it’s a slick ride so far (…) Rating: ★★★ (out of 5)"" , ""A stalker's point-of-view drives this clever and twisty series (...) It’s all too easy to get hooked."" ",Men,Women
22,El Chapo,"""The Netflix show can’t discern between the gravity of fact and the thrill of fiction (...) Unilluminating about Mexican political corruption"" , ""Netflix's gruesome, gripping answer to 'The Wire' (...) Over time, it becomes a comment on the idea of Mexico as a failed state and the larger scandal of the failed war on drugs."" ",Men,Men
23,Brooklyn Nine-Nine,"""Not as wacky as 'Police Squad' or as droll as 'Barney Miller', 'Brooklyn' occupies a comedic no-man’s land--affecting an irreverent tone seemingly designed to keep as many people out as it invites in."" , ""Both individually and when they play off each other, Braugher and Samberg are reason enough to tune in to 'Brooklyn Nine Nine'."" , ""It’s a next-gen 'Barney Miller', a smart workplace cop comedy."" , ""'Brooklyn Nine-Nine' (...) smartly pokes at police-show tropes and creates a promising comedy playground."" , ""Mild, affable and familiar, 'Brooklyn Nine-Nine' is a show the whole family can snicker at."" , ""Credit Samberg with choosing a solid concept, a 'Barney Miller'-type cop comedy (...) and surrounding himself with a great supporting cast. (...) Rating: ★★★½ (out of four)"" ",Men,Men
24,Titans,"""It's trying so desperately to seem edgy that it doesn't have time to be entertaining (...) Nobody is going to find much here that's authentic or earned"" , ""[It] is dark and violent, but compelling (...) An excellent, charismatic set of leads who embody the characters well"" , ""Some fans may be drawn to the blood and viscera, but the series is strong enough to succeed without pushing those boundaries."" , ""Visually, 'Titans' aesthetic ranges from unappealing to shockingly cheap (...) 'Titans' biggest failing—and biggest missed opportunity—is that it’s not any fun (…) Rating: ★ (out of 5)"" , ""The production design looks cheap, the fight scenes (...) perfunctory and forgettable, and Starfire is the only lead character in the initial episodes to make much of an impression at all (…) Rating: ★ (out of 5)"" , ""The one thing likely to hook most viewers in — and keep them hooked — is the overarching mystery that pulls all our players together, giving us and them few answers, but quite a few chilling questions"" ",Men,Men
25,Designated Survivor,"""The pilot is tremendous. It’s tightly plotted, and, despite being about terrorism like '24', it brings Sutherland out of the shadow of can-do Jack Bauer."" , ""It's annoying how good 'Designated Survivor' is. Annoying, because the topic is so ridiculously cheesy, and the emotions so deliberately over-the-top. And yet the concept is immediately engrossing, and the execution nearly seamless."" , ""Kiefer Sutherland ('24') makes a welcome return in this intriguing mix of conspiracy thriller and political drama."" , ""The execution of this premise (...) is taut, fast-moving and reasonably believable (...) Once Kirkman arrives at the White House, though, the momentum fades (...) and disbelief becomes more difficult to suspend."" , ""It could be that future episodes of 'Designated Survivor' will be pulse-pounding and intriguing. It could also be that they will not."" , ""Sutherland is incredibly appealing and credible in a change-of-pace role. The supporting players are well cast."" ",Men,Men
26,Scorpion,"""It’s just another case-of-the-week procedural."" , ""The show isn’t terribly believable.... The cast is fine, except for McPhee."" , ""The participants in this mildy fun yet wholly disposable exercise would be wise not to dwell on calculating their chances of network survival."" , ""It’s a show about geniuses that gets stupider and stupider until it explodes."" , ""Given the times, TV is overdue for a clever hacker thriller. This is not it.""",Men,Men
27,The Woods,"""The performances of both the young and middle-aged versions of the main characters in 'The Woods' are a good reason to keep watching. But the mystery is just complex and intriguing enough to justify watching those performances."" , ""An excellent series that will have you hooked from the first episode. This is a very well-written adaptation that paces the mystery and suspense with such balance that makes this series really captivating"" , ""Except for a different language being spoken, you really cannot see that this isn’t any UK or US production (...) you will definitely be rewarded since it’s both challenging and entertaining"" , ""'The Woods' is another solid showing, complete with good performances and an intriguing mystery, but there’s a lack of artistic ambition here that keeps it from elevating to the higher tiers of the genre (…) Rating: ★★★ (out of 5)"" , ""Even if it's not completely without merits, Bartek Konopka and Leszek Dawid’s Polish mystery fails to engage the audience"" , ""'The Woods' requires full attention, and not just because it’s Polish and subtitled, but once you’re hooked, like Pawel, you’ll be dying to find out what happened all those years ago (…) Rating: ★★★½ (out of 5)"" ",Men,Men
